subset_size,subset_indices,AV,CC,PAIRS,CONS,EJR,beta_EJR,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,alpha_EJR
2,"[0, 11]",1853,1737,934616,1507716,True,1.0,0.724960876369327,0.8037945395650162,0.6387165202368391,0.6460126484652167,1.0
2,"[1, 2]",236,228,20178,25878,True,1.0,0.09233176838810642,0.10550670985654789,0.013789644030638187,0.01108797367473906,1.0
2,"[1, 3]",1538,1473,914553,1084128,True,1.0,0.6017214397496088,0.6816288755205924,0.6250054671995364,0.46451745591032956,1.0
2,"[1, 4]",507,447,65319,99681,True,1.0,0.1983568075117371,0.20684868116612679,0.04463900081461273,0.04271042212967248,1.0
2,"[1, 5]",654,562,119057,157641,True,1.0,0.25586854460093894,0.26006478482184175,0.08136354690037122,0.06754460383567279,1.0
2,"[1, 6]",440,437,48661,95266,True,1.0,0.17214397496087636,0.2022211938917168,0.033254924579982394,0.040818722470735425,1.0
2,"[1, 7]",1374,1224,699228,748476,True,1.0,0.5375586854460094,0.5664044423877834,0.47785237467811864,0.32070029307419406,1.0
2,"[1, 8]",289,280,23562,39060,True,1.0,0.11306729264475743,0.12956964368347987,0.016102269434527552,0.016736078975782817,1.0
2,"[1, 9]",510,504,68004,126756,True,1.0,0.19953051643192488,0.23322535863026378,0.04647392965901077,0.05431127564399198,1.0
2,"[1, 10]",448,380,48350,72010,True,1.0,0.1752738654147105,0.1758445164275798,0.03304238719800556,0.03085419987317257,1.0
2,"[1, 11]",1414,1391,757970,966745,True,1.0,0.55320813771518,0.6436834798704304,0.5179966540738837,0.414222239361064,1.0
2,"[2, 3]",1378,1364,897742,929566,True,1.0,0.5391236306729265,0.6311892642295234,0.6135168307737727,0.39829211441890755,1.0
2,"[2, 4]",347,332,48184,54946,True,1.0,0.13575899843505476,0.15363257751041184,0.03292894280762565,0.023542769979604777,1.0
2,"[2, 5]",494,487,104422,118341,True,1.0,0.19327073552425664,0.22535863026376676,0.07136198874850336,0.050705691809347524,1.0
2,"[2, 6]",280,271,29828,36585,True,1.0,0.10954616588419405,0.12540490513651087,0.020384453471398344,0.01567561314206386,1.0
2,"[2, 7]",1214,1203,691548,723003,True,1.0,0.4749608763693271,0.5566867191115225,0.4726038631231924,0.30978585017224536,1.0
2,"[2, 8]",129,120,4762,7140,True,1.0,0.05046948356807512,0.055529847292919945,0.0032543505240310755,0.003059283253637719,1.0
2,"[2, 9]",350,345,49209,59340,True,1.0,0.13693270735524257,0.15964831096714485,0.03362942774822453,0.025425471746619365,1.0
2,"[2, 10]",288,281,31807,39340,True,1.0,0.11267605633802817,0.13003239241092088,0.021736901956710714,0.016856050868082336,1.0
2,"[2, 11]",1254,1240,739332,768180,True,1.0,0.49061032863849763,0.5738084220268395,0.505259445953999,0.32914288652372875,1.0
2,"[3, 4]",1649,1529,937576,1168156,True,1.0,0.6451486697965572,0.7075428042572883,0.6407393840653002,0.5005210207894151,1.0
2,"[3, 5]",1796,1573,976117,1236378,True,1.0,0.702660406885759,0.7279037482646923,0.66707830123176,0.5297521723481927,1.0
2,"[3, 6]",1582,1488,921920,1106328,True,1.0,0.6189358372456965,0.6885701064322073,0.6300400745726017,0.47402951308550567,1.0
2,"[3, 7]",2516,1939,1421854,1878891,True,1.0,0.9843505477308294,0.8972697825080981,0.971694941200269,0.8050503881947658,1.0
2,"[3, 8]",1431,1388,900322,962578,True,1.0,0.5598591549295775,0.6422952336881074,0.6152800026242558,0.4124368005210208,1.0
2,"[3, 9]",1652,1551,940596,1202025,True,1.0,0.6463223787167449,0.7177232762609903,0.6428032518902842,0.5150329065761736,1.0
2,"[3, 10]",1590,1503,924514,1128753,True,1.0,0.6220657276995305,0.6955113373438223,0.6318128140222734,0.4836379762455653,1.0
2,"[3, 11]",2556,1968,1463272,1935528,True,1.0,1.0,0.9106894956038871,1.0,0.8293177027096509,1.0
2,"[4, 5]",765,648,144540,209628,True,1.0,0.2992957746478873,0.2998611753817677,0.09877862762357238,0.08981952799629801,1.0
2,"[4, 6]",551,538,76669,144453,True,1.0,0.21557120500782473,0.24895881536325776,0.05239559015685395,0.06189392770836547,1.0
2,"[4, 7]",1485,1291,719765,832695,True,1.0,0.5809859154929577,0.5974086071263304,0.4918873592879519,0.35678569592266957,1.0
2,"[4, 8]",400,386,51590,74305,True,1.0,0.1564945226917058,0.1786210087922258,0.03525660301024006,0.0318375409189847,1.0
