subset_size,subset_indices,AV,CC,PAIRS,CONS,EJR,beta_EJR,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,alpha_EJR
4,"[1, 4, 5, 6]",46,28,260,378,True,1.0,0.7540983606557377,0.9032258064516129,0.7951070336391437,0.8129032258064516,1.0
4,"[1, 4, 5, 7]",51,28,270,378,True,1.0,0.8360655737704918,0.9032258064516129,0.8256880733944955,0.8129032258064516,1.0
4,"[1, 4, 6, 7]",47,26,236,325,True,1.0,0.7704918032786885,0.8387096774193549,0.7217125382262997,0.6989247311827957,1.0
4,"[1, 5, 6, 7]",38,25,155,300,True,1.0,0.6229508196721312,0.8064516129032258,0.4740061162079511,0.6451612903225806,1.0
4,"[2, 3, 4, 5]",59,31,327,465,True,1.0,0.9672131147540983,1.0,1.0,1.0,1.0
4,"[2, 3, 4, 6]",55,29,301,406,True,1.0,0.9016393442622951,0.9354838709677419,0.9204892966360856,0.8731182795698925,1.0
4,"[2, 3, 4, 7]",60,29,314,406,True,1.0,0.9836065573770492,0.9354838709677419,0.9602446483180428,0.8731182795698925,1.0
4,"[2, 3, 5, 6]",46,29,235,406,True,1.0,0.7540983606557377,0.9354838709677419,0.7186544342507645,0.8731182795698925,1.0
4,"[2, 3, 5, 7]",51,29,266,406,True,1.0,0.8360655737704918,0.9354838709677419,0.8134556574923547,0.8731182795698925,1.0
4,"[2, 3, 6, 7]",47,27,248,351,True,1.0,0.7704918032786885,0.8709677419354839,0.7584097859327217,0.7548387096774194,1.0
4,"[2, 4, 5, 6]",48,30,277,435,True,1.0,0.7868852459016393,0.967741935483871,0.8470948012232415,0.9354838709677419,1.0
4,"[2, 4, 5, 7]",53,30,288,435,True,1.0,0.8688524590163934,0.967741935483871,0.8807339449541285,0.9354838709677419,1.0
4,"[2, 4, 6, 7]",49,28,254,378,True,1.0,0.8032786885245902,0.9032258064516129,0.7767584097859327,0.8129032258064516,1.0
4,"[2, 5, 6, 7]",40,28,175,378,True,1.0,0.6557377049180327,0.9032258064516129,0.5351681957186545,0.8129032258064516,1.0
4,"[3, 4, 5, 6]",56,30,305,435,True,1.0,0.9180327868852459,0.967741935483871,0.9327217125382263,0.9354838709677419,1.0
4,"[3, 4, 5, 7]",61,30,318,435,True,1.0,1.0,0.967741935483871,0.9724770642201835,0.9354838709677419,1.0
4,"[3, 4, 6, 7]",57,28,292,378,True,1.0,0.9344262295081968,0.9032258064516129,0.8929663608562691,0.8129032258064516,1.0
4,"[3, 5, 6, 7]",48,28,248,378,True,1.0,0.7868852459016393,0.9032258064516129,0.7584097859327217,0.8129032258064516,1.0
4,"[4, 5, 6, 7]",50,28,260,378,True,1.0,0.819672131147541,0.9032258064516129,0.7951070336391437,0.8129032258064516,1.0
5,"[0, 1, 2, 3, 4]",66,29,311,406,True,1.0,0.9295774647887324,0.90625,0.9040697674418605,0.8185483870967742,1.0
5,"[0, 1, 2, 3, 5]",57,29,254,406,True,1.0,0.8028169014084507,0.90625,0.7383720930232558,0.8185483870967742,1.0
5,"[0, 1, 2, 3, 6]",53,27,235,351,True,1.0,0.7464788732394366,0.84375,0.6831395348837209,0.7076612903225806,1.0
5,"[0, 1, 2, 3, 7]",58,27,260,351,True,1.0,0.8169014084507042,0.84375,0.7558139534883721,0.7076612903225806,1.0
5,"[0, 1, 2, 4, 5]",59,30,297,435,True,1.0,0.8309859154929577,0.9375,0.8633720930232558,0.8770161290322581,1.0
5,"[0, 1, 2, 4, 6]",55,28,261,378,True,1.0,0.7746478873239436,0.875,0.7587209302325582,0.7620967741935484,1.0
5,"[0, 1, 2, 4, 7]",60,28,271,378,True,1.0,0.8450704225352113,0.875,0.7877906976744186,0.7620967741935484,1.0
5,"[0, 1, 2, 5, 6]",46,28,172,378,True,1.0,0.647887323943662,0.875,0.5,0.7620967741935484,1.0
5,"[0, 1, 2, 5, 7]",51,28,203,378,True,1.0,0.7183098591549296,0.875,0.5901162790697675,0.7620967741935484,1.0
5,"[0, 1, 2, 6, 7]",47,25,169,300,True,1.0,0.6619718309859155,0.78125,0.49127906976744184,0.6048387096774194,1.0
5,"[0, 1, 3, 4, 5]",67,30,319,435,True,1.0,0.9436619718309859,0.9375,0.9273255813953488,0.8770161290322581,1.0
5,"[0, 1, 3, 4, 6]",63,28,293,378,True,1.0,0.8873239436619719,0.875,0.8517441860465116,0.7620967741935484,1.0
5,"[0, 1, 3, 4, 7]",68,28,305,378,True,1.0,0.9577464788732394,0.875,0.8866279069767442,0.7620967741935484,1.0
5,"[0, 1, 3, 5, 6]",54,28,241,378,True,1.0,0.7605633802816901,0.875,0.7005813953488372,0.7620967741935484,1.0
